"k'","edf","k-index","p-value","smooth_term"
4,3.50213251853785,1.03305616708418,0.8275,"s(GA_c)"
4,2.297853333788,0.977282173464886,0.2675,"s(BMI_c)"
16,5.8441186870726,0.994844086008185,0.42,"ti(GA_c,BMI_c)"
267,236.36252051638,NA,NA,"s(patient_id)"
