Rank,Model,CV_RMSE,CV_RMSE_SD,CV_MAE,CV_MAE_SD,CV_R2,CV_R2_SD,Converged,Structural_Issue,GA_Effect,BMI_Effect,GA_BMI_Interaction,Complexity,Interpretability,Decision,Reason,Description
1,B0,0.03269711057790853,0.003287354483370388,0.0263779261572361,0.0024766093594182545,0.020821489205053223,0.05256828661259087,True,无,显著,显著,不显著,Low,High,保留,Group-CV RMSE 最低，且收敛稳定、解释直接,原始 Y 二次 OLS + 孕妇聚类稳健标准误
5,M1,0.0345384663772892,0.0024123438011440907,0.028180373330861607,0.0016742439161527931,-0.09840669391052317,0.07937489459912322,True,无,显著,显著,不显著,Medium,High,淘汰,CV RMSE 较第一推荐高 5.6%,logit(Y) 随机截距 LMM
6,M2,0.034764467630279,0.0026831413585073115,0.028112403146091692,0.0021563903658268248,-0.11301011685919005,0.10050292972395554,True,boundary warning,nonlinear,nonlinear,显著,High,Medium,淘汰,结构诊断：boundary warning,logit(Y) 随机截距/孕周斜率二次 LMM
4,M3,0.03437466358428938,0.0024587631308989138,0.027956049141195604,0.0017802232825613734,-0.08865227334248198,0.09301554228112394,True,无,nonlinear,nonlinear,NA,Medium,Medium,淘汰,CV RMSE 较第一推荐高 5.1%,logit(Y) 样条固定效应 + 随机截距 GAMM
2,M4,0.033720186760909064,0.0027685429634938447,0.02743022529580475,0.0020813376925301373,-0.04561621144178658,0.08195250484283458,True,无,nonlinear,nonlinear,显著,High,Low,次选,收敛正常，Group-CV RMSE 为其余模型中最低,Beta-GAMM：双样条、二维交互、随机截距
3,M5,0.033844999254826674,0.0026561473642206738,0.027836080002708607,0.0022983761889253584,-0.055448333433634714,0.10451994549931155,True,无,nonlinear,显著,不显著,Medium,High,淘汰,CV RMSE 较第一推荐高 3.5%,Fractional Logit-GEE (Exchangeable)
