model_key,Model,Label,Metric level,PR-AUC,ROC-AUC,Recall,Precision,F1,F2,Specificity,Balanced Accuracy,Brier,Accuracy,TN,FP,FN,TP
B0,B0 raw Z>3,T13,row-level,0.036632321068037155,0.4205139698192141,0.043478260869565216,0.05263157894736842,0.047619047619047616,0.04504504504504504,0.9690721649484536,0.5062752129090095,0.45259957365319925,0.9338842975206612,564.0,18.0,22.0,1.0
B0,B0 raw Z>3,T13,patient-weighted,0.055628002836640426,0.4798041778041777,0.032432432432432434,0.053030303030303025,0.04024916147580259,0.035164099129269925,0.974640743871513,0.5035365881519727,0.43925106175192424,0.9351149983803044,137.26190476190465,3.5714285714285716,5.966666666666667,0.2
B0,B0 raw Z>3,T18,row-level,0.08141148492239715,0.5449949443882709,0.0,0.0,0.0,0.0,0.9409660107334525,0.47048300536672627,0.5106254327612502,0.8694214876033057,526.0,33.0,46.0,0.0
B0,B0 raw Z>3,T18,patient-weighted,0.09118349515095724,0.5732073721772859,0.0,0.0,0.0,0.0,0.9568335208098988,0.4784167604049494,0.49143612216015936,0.8817622287010042,129.61904761904773,5.84761904761905,11.53333333333333,0.0
B0,B0 raw Z>3,T21,row-level,0.02399641523623151,0.5097453222453223,0.0,0.0,0.0,0.0,1.0,0.5,0.3154216370032666,0.9785123966942149,592.0,0.0,13.0,0.0
B0,B0 raw Z>3,T21,patient-weighted,0.025487088869878258,0.4945781022436073,0.0,0.0,0.0,0.0,1.0,0.5,0.3153163211243574,0.9761904761904762,143.49999999999977,0.0,3.5,0.0
B0,B0 raw Z>3,Any,row-level,0.11085979341788071,0.5019419630472174,0.04477611940298507,0.07142857142857142,0.05504587155963303,0.04838709677419355,0.9275092936802974,0.48614270654164127,0.7539674126402366,0.8297520661157025,499.0,39.0,64.0,3.0
B0,B0 raw Z>3,Any,patient-weighted,0.12881140092387175,0.5307697354135232,0.035573122529644285,0.07597226409406088,0.04845687914623595,0.03980665339778222,0.9439219847775175,0.4897475536535809,0.7416499605039516,0.8396987366375122,122.83571428571439,7.297619047619052,16.266666666666666,0.6000000000000001
B1,B1 calibrated Z*>3,T13,row-level,0.08621361463914344,0.5193485731361123,0.043478260869565216,0.14285714285714285,0.06666666666666667,0.050505050505050504,0.9896907216494846,0.5165844912595249,0.337188113549837,0.9537190082644628,576.0,6.0,22.0,1.0
B1,B1 calibrated Z*>3,T13,patient-weighted,0.21452448537946373,0.5782655030347337,0.16216216216216214,0.4375,0.23661971830985915,0.18551236749116606,0.9908706677937448,0.5765164149779535,0.32996122418120905,0.9561062520246193,139.54761904761887,1.2857142857142856,5.166666666666667,1.0
B1,B1 calibrated Z*>3,T18,row-level,0.10112521324237633,0.6181068678540873,0.0,0.0,0.0,0.0,0.9892665474060823,0.49463327370304117,0.3180934028088744,0.9140495867768595,553.0,6.0,46.0,0.0
B1,B1 calibrated Z*>3,T18,patient-weighted,0.14576079571055633,0.6550886849494248,0.0,0.0,0.0,0.0,0.9900344488188977,0.49501722440944884,0.3045020553549306,0.9123582766439909,134.1166666666666,1.3499999999999999,11.53333333333333,0.0
B1,B1 calibrated Z*>3,T21,row-level,0.026680209130077202,0.5699064449064449,0.0,0.0,0.0,0.0,0.9983108108108109,0.49915540540540543,0.34507317280192856,0.9768595041322314,591.0,1.0,13.0,0.0
B1,B1 calibrated Z*>3,T21,patient-weighted,0.028292505035692517,0.5541597204115869,0.0,0.0,0.0,0.0,0.9988385598141696,0.4994192799070848,0.34555444331563245,0.9750566893424036,143.33333333333314,0.16666666666666666,3.5,0.0
B1,B1 calibrated Z*>3,Any,row-level,0.16045828492540476,0.5471064750596459,0.04477611940298507,0.21428571428571427,0.07407407407407407,0.05319148936170213,0.9795539033457249,0.512165011374355,0.6862284145191554,0.8760330578512396,527.0,11.0,64.0,3.0
