scenario,q,Group,BMI_interval,BMI_lower,BMI_upper,N,group_curve_cost,recommended_GA,week_day,mean_reliability,q10_reliability,min_reliability,proportion_at_or_above_q,any_below_q,marked_tail_failure,analysis_type,measurement_sd,cutpoints,timing_shift_vs_q95_no_error,max_cutpoint_shift_vs_no_error,timing_shift_vs_no_error
no_error,0.9,1,"[20.70, 32.09]",20.703125,32.0931884444288,158,0.4689172902947121,17.2,17周+1天,0.9004214465086882,0.8892664580600825,0.7852445821974575,0.6139240506329114,True,True,reliability_level,0.0,32.0932; 35.2209,-4.0,,
no_error,0.9,2,"(32.09, 35.22]",32.0931884444288,35.2208681140727,79,0.20725727817557527,18.4,18周+3天,0.900157727528951,0.8833335048740588,0.874518002555216,0.5949367088607594,True,False,reliability_level,0.0,32.0932; 35.2209,-4.200000000000003,,
no_error,0.9,3,"(35.22, 46.88]",35.2208681140727,46.875,30,4.133867995624712,21.3,21周+2天,0.9022549847443719,0.8891056650866273,0.8294269875169248,0.6666666666666666,True,True,reliability_level,0.0,32.0932; 35.2209,-1.6999999999999993,,
no_error,0.95,1,"[20.70, 32.09]",20.703125,32.0931884444288,158,0.4689172902947121,21.2,21周+1天,0.9507959442932042,0.941916288910277,0.9040977578937892,0.6835443037974683,True,False,reliability_level,0.0,32.0932; 35.2209,0.0,,
no_error,0.95,2,"(32.09, 35.22]",32.0931884444288,35.2208681140727,79,0.20725727817557527,22.6,22周+4天,0.9511220997653662,0.9468331020126575,0.9454567968756902,0.620253164556962,True,False,reliability_level,0.0,32.0932; 35.2209,0.0,,
no_error,0.95,3,"(35.22, 46.88]",35.2208681140727,46.875,30,4.133867995624712,23.0,23周+0天,0.9510610938762001,0.9499718884420474,0.9430743451851842,0.9,True,False,reliability_level,0.0,32.0932; 35.2209,0.0,,
no_error,0.975,1,"[20.70, 32.09]",20.703125,32.0931884444288,158,0.4689172902947121,23.0,23周+0天,0.9750788690069391,0.9660395200929676,0.9576853963293284,0.5822784810126582,True,False,reliability_level,0.0,32.0932; 35.2209,1.8000000000000007,,
no_error,0.975,2,"(32.09, 35.22]",32.0931884444288,35.2208681140727,79,0.20725727817557527,24.4,24周+3天,0.9755668299787775,0.9743441234089636,0.9742866187373003,0.620253164556962,True,False,reliability_level,0.0,32.0932; 35.2209,1.7999999999999972,,
no_error,0.975,3,"(35.22, 46.88]",35.2208681140727,46.875,30,4.133867995624712,24.4,24周+3天,0.9760223901893395,0.9743676698597159,0.9743052708599408,0.5333333333333333,True,False,reliability_level,0.0,32.0932; 35.2209,1.3999999999999986,,
no_error,0.95,1,"[20.70, 32.09]",20.703125,32.0931884444288,158,0.4689172902947121,21.2,21周+1天,0.9507959442932042,0.941916288910277,0.9040977578937892,0.6835443037974683,True,False,measurement_error,0.0,32.0932; 35.2209,0.0,0.0,0.0
no_error,0.95,2,"(32.09, 35.22]",32.0931884444288,35.2208681140727,79,0.20725727817557527,22.6,22周+4天,0.9511220997653662,0.9468331020126575,0.9454567968756902,0.620253164556962,True,False,measurement_error,0.0,32.0932; 35.2209,0.0,0.0,0.0
no_error,0.95,3,"(35.22, 46.88]",35.2208681140727,46.875,30,4.133867995624712,23.0,23周+0天,0.9510610938762001,0.9499718884420474,0.9430743451851842,0.9,True,False,measurement_error,0.0,32.0932; 35.2209,0.0,0.0,0.0
measurement_0_75,0.95,1,"[20.70, 32.09]",20.703125,32.0931884444288,158,0.45902605241167294,21.4,21周+3天,0.9511418501137294,0.9415032792772835,0.9075072106209441,0.689873417721519,True,False,measurement_error,0.004594908737753754,32.0932; 35.2209,0.1999999999999993,0.0,0.1999999999999993
measurement_0_75,0.95,2,"(32.09, 35.22]",32.0931884444288,35.2208681140727,79,0.20290521189986066,22.8,22周+6天,0.9515057903729146,0.9475847250721965,0.946405038719859,0.620253164556962,True,False,measurement_error,0.004594908737753754,32.0932; 35.2209,0.1999999999999993,0.0,0.1999999999999993
measurement_0_75,0.95,3,"(35.22, 46.88]",35.2208681140727,46.875,30,3.977366140145591,23.1,23周+1天,0.9504752337816196,0.9497667669845313,0.9443301707293479,0.8666666666666667,True,False,measurement_error,0.004594908737753754,32.0932; 35.2209,0.10000000000000142,0.0,0.10000000000000142
measurement_1_00,0.95,1,"[20.70, 32.09]",20.703125,32.0931884444288,158,0.4521812779832999,21.5,21周+4天,0.9506396702329675,0.9405868794205633,0.9082895676235883,0.6518987341772152,True,False,measurement_error,0.006126544983671672,32.0932; 35.2209,0.3000000000000007,0.0,0.3000000000000007
measurement_1_00,0.95,2,"(32.09, 35.22]",32.0931884444288,35.2208681140727,79,0.19987840171404514,22.9,22周+6天,0.9510207337333905,0.9472478373540323,0.9461533239442645,0.620253164556962,True,False,measurement_error,0.006126544983671672,32.0932; 35.2209,0.29999999999999716,0.0,0.29999999999999716
measurement_1_00,0.95,3,"(35.22, 46.88]",35.2208681140727,46.875,30,3.8615948457899094,23.2,23周+1天,0.9506221900054501,0.9502882365844992,0.9462591209595048,0.9,True,False,measurement_error,0.006126544983671672,32.0932; 35.2209,0.1999999999999993,0.0,0.1999999999999993
measurement_1_25,0.95,1,"[20.70, 32.09]",20.703125,32.0931884444288,158,0.4443176120901171,21.7,21周+5天,0.9512948950490111,0.9406295421160876,0.9118617569030709,0.6835443037974683,True,False,measurement_error,0.00765818122958959,32.0932; 35.2209,0.5,0.0,0.5
measurement_1_25,0.95,2,"(32.09, 35.22]",32.0931884444288,35.2208681140727,79,0.19638007202172503,23.0,23周+0天,0.9500602648745736,0.9464130972095255,0.9453961639403555,0.46835443037974683,True,False,measurement_error,0.00765818122958959,32.0932; 35.2209,0.3999999999999986,0.0,0.3999999999999986
measurement_1_25,0.95,3,"(35.22, 46.88]",35.2208681140727,46.875,30,3.7204609264397277,23.3,23周+2天,0.9502684592578355,0.9501713203008437,0.9475747587029789,0.9333333333333333,True,False,measurement_error,0.00765818122958959,32.0932; 35.2209,0.3000000000000007,0.0,0.3000000000000007
