方案性质,目标可靠性,组别,BMI区间,人数,高保障时点,周+天,平均可靠性,10%分位可靠性,最小可靠性,达到目标的BMI比例
可靠性约束方案（不是最终最佳时点）,0.9,1,"[20.70, 32.09]",158,17.2,17周+1天,0.9004214465086882,0.8892664580600825,0.7852445821974575,0.6139240506329114
可靠性约束方案（不是最终最佳时点）,0.9,2,"(32.09, 35.22]",79,18.4,18周+3天,0.900157727528951,0.8833335048740588,0.874518002555216,0.5949367088607594
可靠性约束方案（不是最终最佳时点）,0.9,3,"(35.22, 46.88]",30,21.3,21周+2天,0.902254984744372,0.8891056650866273,0.8294269875169248,0.6666666666666666
可靠性约束方案（不是最终最佳时点）,0.95,1,"[20.70, 32.09]",158,21.2,21周+1天,0.9507959442932042,0.941916288910277,0.9040977578937892,0.6835443037974683
可靠性约束方案（不是最终最佳时点）,0.95,2,"(32.09, 35.22]",79,22.6,22周+4天,0.9511220997653662,0.9468331020126576,0.9454567968756902,0.620253164556962
可靠性约束方案（不是最终最佳时点）,0.95,3,"(35.22, 46.88]",30,23.0,23周+0天,0.9510610938762,0.9499718884420474,0.9430743451851842,0.9
可靠性约束方案（不是最终最佳时点）,0.975,1,"[20.70, 32.09]",158,23.0,23周+0天,0.9750788690069392,0.9660395200929676,0.9576853963293284,0.5822784810126582
可靠性约束方案（不是最终最佳时点）,0.975,2,"(32.09, 35.22]",79,24.4,24周+3天,0.9755668299787776,0.9743441234089636,0.9742866187373004,0.620253164556962
可靠性约束方案（不是最终最佳时点）,0.975,3,"(35.22, 46.88]",30,24.4,24周+3天,0.9760223901893396,0.974367669859716,0.9743052708599408,0.5333333333333333
