scenario,q,Group,BMI_interval,BMI_lower,BMI_upper,N,group_curve_cost,recommended_GA,week_day,mean_reliability,q10_reliability,min_reliability,proportion_at_or_above_q,any_below_q,marked_tail_failure,cutpoints,max_cutpoint_shift_vs_no_error,timing_shift_vs_no_error
no_error,0.95,1,"[20.70, 32.09]",20.703125,32.0931884444288,158,0.4689172902947121,21.2,21周+1天,0.9507959442932042,0.941916288910277,0.9040977578937892,0.6835443037974683,True,False,32.0932; 35.2209,0.0,0.0
no_error,0.95,2,"(32.09, 35.22]",32.0931884444288,35.2208681140727,79,0.20725727817557527,22.6,22周+4天,0.9511220997653662,0.9468331020126575,0.9454567968756902,0.620253164556962,True,False,32.0932; 35.2209,0.0,0.0
no_error,0.95,3,"(35.22, 46.88]",35.2208681140727,46.875,30,4.133867995624712,23.0,23周+0天,0.9510610938762001,0.9499718884420474,0.9430743451851842,0.9,True,False,32.0932; 35.2209,0.0,0.0
measurement_0_75,0.95,1,"[20.70, 32.09]",20.703125,32.0931884444288,158,0.45902605241167294,21.4,21周+3天,0.9511418501137294,0.9415032792772835,0.9075072106209441,0.689873417721519,True,False,32.0932; 35.2209,0.0,0.1999999999999993
measurement_0_75,0.95,2,"(32.09, 35.22]",32.0931884444288,35.2208681140727,79,0.20290521189986066,22.8,22周+6天,0.9515057903729146,0.9475847250721965,0.946405038719859,0.620253164556962,True,False,32.0932; 35.2209,0.0,0.1999999999999993
measurement_0_75,0.95,3,"(35.22, 46.88]",35.2208681140727,46.875,30,3.977366140145591,23.1,23周+1天,0.9504752337816196,0.9497667669845313,0.9443301707293479,0.8666666666666667,True,False,32.0932; 35.2209,0.0,0.10000000000000142
measurement_1_00,0.95,1,"[20.70, 32.09]",20.703125,32.0931884444288,158,0.4521812779832999,21.5,21周+4天,0.9506396702329675,0.9405868794205633,0.9082895676235883,0.6518987341772152,True,False,32.0932; 35.2209,0.0,0.3000000000000007
measurement_1_00,0.95,2,"(32.09, 35.22]",32.0931884444288,35.2208681140727,79,0.19987840171404514,22.9,22周+6天,0.9510207337333905,0.9472478373540323,0.9461533239442645,0.620253164556962,True,False,32.0932; 35.2209,0.0,0.29999999999999716
measurement_1_00,0.95,3,"(35.22, 46.88]",35.2208681140727,46.875,30,3.8615948457899094,23.2,23周+1天,0.9506221900054501,0.9502882365844992,0.9462591209595048,0.9,True,False,32.0932; 35.2209,0.0,0.1999999999999993
measurement_1_25,0.95,1,"[20.70, 32.09]",20.703125,32.0931884444288,158,0.4443176120901171,21.7,21周+5天,0.9512948950490111,0.9406295421160876,0.9118617569030709,0.6835443037974683,True,False,32.0932; 35.2209,0.0,0.5
measurement_1_25,0.95,2,"(32.09, 35.22]",32.0931884444288,35.2208681140727,79,0.19638007202172503,23.0,23周+0天,0.9500602648745736,0.9464130972095255,0.9453961639403555,0.46835443037974683,True,False,32.0932; 35.2209,0.0,0.3999999999999986
measurement_1_25,0.95,3,"(35.22, 46.88]",35.2208681140727,46.875,30,3.7204609264397277,23.3,23周+2天,0.9502684592578355,0.9501713203008437,0.9475747587029789,0.9333333333333333,True,False,32.0932; 35.2209,0.0,0.3000000000000007
