scenario,Group,GA,mean_reliability,q10_reliability,min_reliability,BMI_interval,N,detection_failure_risk,delay_risk,minimax_risk,normalized_delay_risk,normalized_detection_failure_risk,knee_distance,is_knee
no_error,1,12.0,0.8338147552821513,0.814161776358129,0.6149847920339317,"[20.70, 32.09]",158,0.16618524471784868,0.0,0.16618524471784868,0.0,1.0,0.0,False
no_error,1,12.1,0.8364071024007677,0.8177784178887932,0.6204213511750274,"[20.70, 32.09]",158,0.16359289759923235,0.006666666666666643,0.16359289759923235,0.007692307692307664,0.9833346086207182,0.0063449283232138,False
no_error,1,12.2,0.8389550709326772,0.8213313241124296,0.6258054680055128,"[20.70, 32.09]",158,0.16104492906732282,0.013333333333333286,0.16104492906732282,0.015384615384615328,0.9669545133389448,0.012488121841233366,False
no_error,1,12.3,0.8414564058450277,0.8248180442500107,0.6311319648889311,"[20.70, 32.09]",158,0.15854359415497232,0.02000000000000005,0.15854359415497232,0.023076923076923134,0.9508742110578088,0.018419329695549845,False
no_error,1,12.4,0.8439089142187026,0.8282362397553082,0.6363957049355423,"[20.70, 32.09]",158,0.15609108578129738,0.02666666666666669,0.15609108578129738,0.030769230769230795,0.9351077993705984,0.024128583382350948,False
no_error,1,12.5,0.8463104894894713,0.8315837092722261,0.6415916401123549,"[20.70, 32.09]",158,0.1536895105105287,0.03333333333333333,0.1536895105105287,0.03846153846153846,0.9196688207219647,0.029606306947190002,False
no_error,1,12.6,0.8486591377297572,0.8348584153328699,0.6467148644436881,"[20.70, 32.09]",158,0.1513408622702428,0.03999999999999997,0.1513408622702428,0.04615384615384612,0.904570093450627,0.034843436455834924,False
no_error,1,12.7,0.8509529945531423,0.838058504807885,0.6517606468868877,"[20.70, 32.09]",158,0.14904700544685767,0.04666666666666662,0.14904700544685767,0.053846153846153794,0.8898236031155852,0.039831496838240686,False
no_error,1,12.8,0.8531903412782312,0.8406603718417792,0.6567244675785009,"[20.70, 32.09]",158,0.14680965872176877,0.05333333333333338,0.14680965872176877,0.06153846153846159,0.8754403985836772,0.04456267536574162,False
no_error,1,12.9,0.8553696231216877,0.8436646315526217,0.661602061780808,"[20.70, 32.09]",158,0.14463037687831226,0.060000000000000026,0.14463037687831226,0.06923076923076926,0.8614304750722185,0.04902990435239472,False
no_error,1,13.0,0.8574894559181258,0.8466579584020972,0.6663894392374917,"[20.70, 32.09]",158,0.14251054408187425,0.06666666666666667,0.14251054408187425,0.07692307692307691,0.8478027309489187,0.05322689170205095,False
no_error,1,13.1,0.8595486335180642,0.8495706536550438,0.6710829090777696,"[20.70, 32.09]",158,0.1404513664819358,0.0733333333333333,0.1404513664819358,0.08461538461538458,0.8345649201727363,0.05714815453774966,False
no_error,1,13.2,0.8615461425300555,0.8524019718681775,0.6756791117931746,"[20.70, 32.09]",158,0.13845385746994454,0.07999999999999995,0.13845385746994454,0.09230769230769224,0.8217235575213315,0.06078908621602946,False
no_error,1,13.3,0.863481160944044,0.8551514038376912,0.6801750315270281,"[20.70, 32.09]",158,0.13651883905595597,0.08666666666666671,0.13651883905595597,0.10000000000000005,0.8092839274410631,0.06414595006903509,False
no_error,1,13.4,0.8653530572846141,0.8578186749128813,0.6845680063063061,"[20.70, 32.09]",158,0.1346469427153859,0.09333333333333335,0.1346469427153859,0.10769230769230771,0.7972500894904972,0.06721587555537607,False
no_error,1,13.5,0.8671614010672244,0.8604037515489098,0.6888557461654738,"[20.70, 32.09]",158,0.1328385989327756,0.1,0.1328385989327756,0.11538461538461539,0.7856248111205323,0.0699969057917554,False
no_error,1,13.6,0.8689059601568707,0.8629068337715633,0.6930363490290775,"[20.70, 32.09]",158,0.13109403984312928,0.10666666666666665,0.13109403984312928,0.12307692307692304,0.7744095846547349,0.0724879855460594,False
no_error,1,13.7,0.8705866922152108,0.865328342634699,0.6971082855891975,"[20.70, 32.09]",158,0.1294133077847892,0.11333333333333329,0.1294133077847892,0.13076923076923072,0.7636046822731072,0.0746889223579628,False
no_error,1,13.8,0.8722037483079854,0.8676689208977811,0.7010704148347487,"[20.70, 32.09]",158,0.12779625169201458,0.12000000000000005,0.12779625169201458,0.13846153846153852,0.7532091328211011,0.07660040293743209,False
no_error,1,13.9,0.8737574756892956,0.8695837399906103,0.7049219970991334,"[20.70, 32.09]",158,0.12624252431070437,0.12666666666666668,0.12666666666666668,0.14615384615384616,0.7432207039103688,0.07822400582140654,False
no_error,1,14.0,0.8752484021152586,0.8715465933047161,0.7086626659909241,"[20.70, 32.09]",158,0.12475159788474144,0.13333333333333333,0.13333333333333333,0.15384615384615383,0.7336360027613775,0.07956213006730055,False
no_error,1,14.1,0.8766772335639255,0.872752234082338,0.7122924338646024,"[20.70, 32.09]",158,0.12332276643607454,0.13999999999999999,0.13999999999999999,0.16153846153846152,0.724450490861347,0.08061798488827761,False
no_error,1,14.2,0.8780448613141992,0.8740639534012193,0.7158117038111157,"[20.70, 32.09]",158,0.12195513868580077,0.1466666666666666,0.1466666666666666,0.16923076923076916,0.7156584384560949,0.08139562183237474,False
no_error,1,14.3,0.8793523456322819,0.8755377511519563,0.719221241185882,"[20.70, 32.09]",158,0.12064765436771807,0.15333333333333338,0.15333333333333338,0.17692307692307696,0.7072530294247797,0.08189986062486003,False
no_error,1,14.4,0.8806009068662303,0.8773263753164197,0.7225221626732794,"[20.70, 32.09]",158,0.11939909313376973,0.16000000000000003,0.16000000000000003,0.18461538461538465,0.699226418530227,0.08213624868613986,True
