组别,BMI区间,人数,原95%高保障时点,最佳NIPT时点,周+天,平均可靠性,10%分位可靠性,最小可靠性,检测失败风险,延迟风险,Minimax风险,Pareto时点,Minimax与Pareto差值,Pareto支持Minimax
1,"[20.70, 32.09]",158,21.2,13.9,13周+6天,0.8737574756892956,0.8695837399906103,0.7049219970991334,0.12624252431070437,0.12666666666666668,0.12666666666666668,14.4,0.5,支持（差值≤1周）
2,"(32.09, 35.22]",79,22.6,14.1,14周+1天,0.853525007926395,0.8346874791967679,0.8233544977557687,0.14647499207360504,0.13999999999999999,0.14647499207360504,15.1,1.0,支持（差值≤1周）
3,"(35.22, 46.88]",30,23.0,15.4,15周+3天,0.7708637450169117,0.6956068726649679,0.3170840962766811,0.22913625498308832,0.22666666666666668,0.22913625498308832,14.9,0.5,支持（差值≤1周）
