组别,BMI区间,孕妇数,组内曲线误差,推荐时点,周+天,平均可靠性
1,"[20.70, 32.09]",158,0.4689172902947121,21.2,21周+1天,0.9507959442932042
2,"(32.09, 35.22]",79,0.20725727817557527,22.6,22周+4天,0.9511220997653662
3,"(35.22, 46.88]",30,4.133867995624712,23.0,23周+0天,0.9510610938762001
