组别,BMI区间,Minimax时点,Pareto时点,二者差值,稳定性判断,Pareto检测失败风险,Pareto延迟风险
1,"[20.70, 32.09]",13.9,14.4,0.5,支持（差值≤1周）,0.11939909313376973,0.16000000000000003
2,"(32.09, 35.22]",14.1,15.1,1.0,支持（差值≤1周）,0.12564396584804116,0.20666666666666664
3,"(35.22, 46.88]",15.4,14.9,0.5,支持（差值≤1周）,0.24213324683775206,0.19333333333333336
