scenario,Group,BMI_interval,N,t50,t70,t90,minimax_GA,week_day,mean_reliability,q10_reliability,min_reliability,detection_failure_risk,delay_risk,minimax_risk,group_curve_cost,measurement_sd,cutpoints,max_cutpoint_shift_vs_no_error,timing_shift_vs_no_error
no_error,1,"[20.70, 35.22]",237,10.0,10.0,17.3,13.9,13周+6天,0.8669865890103022,0.7981605479172679,0.6928085578575975,0.13301341098969777,0.12666666666666668,0.13301341098969777,5.836517292328153,0.0,35.2209,0.0,0.0
no_error,2,"(35.22, 46.88]",30,10.8,13.9,21.5,15.6,15周+4天,0.760714764431503,0.6703161235581448,0.37126751170359407,0.239285235568497,0.23999999999999996,0.23999999999999996,4.782442605405663,0.0,35.2209,0.0,0.0
measurement_0_75,1,"[20.70, 35.22]",237,10.0,10.0,17.9,14.0,14周+0天,0.8651246940959585,0.7980339869764403,0.6952368890264771,0.1348753059040415,0.13333333333333333,0.1348753059040415,5.765961510832767,0.0045949087377537,35.2209,0.0,0.09999999999999964
measurement_0_75,2,"(35.22, 46.88]",30,10.8,13.9,21.6,15.6,15周+4天,0.7583621545149591,0.6693414372883293,0.3778441223869192,0.24163784548504086,0.23999999999999996,0.24163784548504086,4.605593911595918,0.0045949087377537,35.2209,0.0,0.0
measurement_1_00,1,"[20.70, 35.22]",237,10.0,10.0,18.3,14.0,14周+0天,0.8623044773217898,0.7954288974593147,0.6939544871291919,0.13769552267821017,0.13333333333333333,0.13769552267821017,5.718736288855325,0.0061265449836716,35.2209,0.0,0.09999999999999964
measurement_1_00,2,"(35.22, 46.88]",30,10.7,13.9,21.7,15.6,15周+4天,0.7565370018836625,0.6684890097555822,0.3825827453759498,0.24346299811633754,0.23999999999999996,0.24346299811633754,4.475786934224061,0.0061265449836716,35.2209,0.0,0.0
measurement_1_25,1,"[20.70, 35.22]",237,10.0,10.0,18.7,14.1,14周+1天,0.860583722710834,0.7952728788488022,0.6959167586152876,0.13941627728916595,0.13999999999999999,0.13999999999999999,5.666125207053938,0.0076581812295895,35.2209,0.0,0.1999999999999993
measurement_1_25,2,"(35.22, 46.88]",30,10.7,13.9,21.8,15.6,15周+4天,0.7542060046896281,0.6672995049784082,0.3882094801567093,0.24579399531037194,0.23999999999999996,0.24579399531037194,4.318627724444752,0.0076581812295895,35.2209,0.0,0.0
