组别,BMI区间,人数,50%时点,70%时点,90%时点,Minimax最佳时点,周+天,平均可靠性,10%分位可靠性,最小可靠性,检测失败风险,延迟风险,Minimax风险
1,"[20.70, 35.22]",237,10.0,10.0,17.3,13.9,13周+6天,0.8669865890103022,0.7981605479172679,0.6928085578575975,0.13301341098969777,0.12666666666666668,0.13301341098969777
2,"(35.22, 46.88]",30,10.8,13.9,21.5,15.6,15周+4天,0.760714764431503,0.6703161235581448,0.37126751170359407,0.239285235568497,0.23999999999999996,0.23999999999999996
