scenario,measurement_sd,K,Group,BMI_interval,N,cutpoints,group_curve_cost
no_error,0.0,2,1,"[20.70, 35.22]",237,35.2209,5.836517292328153
no_error,0.0,2,2,"(35.22, 46.88]",30,35.2209,4.782442605405663
measurement_0_75,0.0045949087377537,2,1,"[20.70, 35.22]",237,35.2209,5.765961510832767
measurement_0_75,0.0045949087377537,2,2,"(35.22, 46.88]",30,35.2209,4.605593911595918
measurement_1_00,0.0061265449836716,2,1,"[20.70, 35.22]",237,35.2209,5.718736288855325
measurement_1_00,0.0061265449836716,2,2,"(35.22, 46.88]",30,35.2209,4.475786934224061
measurement_1_25,0.0076581812295895,2,1,"[20.70, 35.22]",237,35.2209,5.666125207053938
measurement_1_25,0.0076581812295895,2,2,"(35.22, 46.88]",30,35.2209,4.318627724444752
