scope,N,mean_abs_delta,median_abs_delta,q90_abs_delta,max_abs_delta,proportion_abs_delta_le_0_5,proportion_abs_delta_le_1_0,proportion_abs_delta_le_2_0,mean_excess_risk_at_group_time
Overall,267,0.4602996254681647,0.40000000000000036,1.0,2.700000000000001,0.7153558052434457,0.9101123595505618,0.9925093632958801,0.01975178310524625
G1,237,0.4059071729957805,0.3000000000000007,0.7999999999999989,1.799999999999999,0.7552742616033755,0.9451476793248945,1.0,0.01593195832388853
G2,30,0.8899999999999998,0.7499999999999991,1.4400000000000008,2.700000000000001,0.4,0.6333333333333333,0.9333333333333333,0.04992839887797223
