scenario,Group,BMI_interval,N,t50,t70,t90,minimax_GA,week_day,mean_reliability,q10_reliability,min_reliability,detection_failure_risk,delay_risk,minimax_risk,group_curve_cost
no_error,1,"[20.70, 35.22]",237,10.0,10.0,17.3,13.9,13周+6天,0.8669865890103022,0.7981605479172679,0.6928085578575975,0.13301341098969777,0.12666666666666668,0.13301341098969777,5.836517292328153
no_error,2,"(35.22, 46.88]",30,10.8,13.9,21.5,15.6,15周+4天,0.760714764431503,0.6703161235581448,0.37126751170359407,0.239285235568497,0.23999999999999996,0.23999999999999996,4.782442605405663
