"Height","Height_c","link_partial_effect"
144,-17.0503913894325,-0.0993146137372589
144.31,-16.7403913894325,-0.0938160156685796
144.62,-16.4303913894325,-0.0883239422558062
144.93,-16.1203913894325,-0.0828449181548453
145.24,-15.8103913894325,-0.0773854680216028
145.55,-15.5003913894325,-0.0719521165119849
145.86,-15.1903913894325,-0.0665513882818979
146.17,-14.8803913894325,-0.0611898079872485
146.48,-14.5703913894325,-0.0558739002839417
146.79,-14.2603913894325,-0.0506101898278842
147.1,-13.9503913894325,-0.0454052012749822
147.41,-13.6403913894325,-0.0402654592811418
147.72,-13.3303913894325,-0.0351974885022693
148.03,-13.0203913894325,-0.0302078137919849
148.34,-12.7103913894325,-0.0253032470263736
148.65,-12.4003913894325,-0.0204914610244265
148.96,-12.0903913894325,-0.0157802893541177
149.27,-11.7803913894325,-0.0111776111236163
149.58,-11.4703913894325,-0.00669157470735489
149.89,-11.1603913894325,-0.00233042708656214
150.2,-10.8503913894325,0.00189759911140913
150.51,-10.5403913894325,0.00598445371367994
150.82,-10.2303913894325,0.0099222111988855
151.13,-9.9203913894325,0.0137029484584229
151.44,-9.61039138943249,0.0173187423836894
151.75,-9.30039138943249,0.0207616698660822
152.06,-8.99039138943249,0.0240238094194258
152.37,-8.68039138943249,0.0270976135345702
152.68,-8.37039138943248,0.0299763843435556
152.99,-8.06039138943248,0.0326535413415145
153.3,-7.75039138943248,0.0351227509561764
153.61,-7.44039138943248,0.0373787677740585
153.92,-7.1303913894325,0.0394166460298113
154.23,-6.8203913894325,0.041231561976384
154.54,-6.5103913894325,0.0428197828593914
154.85,-6.2003913894325,0.044178150230866
155.16,-5.89039138943249,0.0453035526426861
155.47,-5.58039138943249,0.0461937723683903
155.78,-5.27039138943249,0.0468474485765996
156.09,-4.96039138943249,0.047263262079846
156.4,-4.65039138943249,0.0474404926105766
156.71,-4.34039138943248,0.0473794620105163
157.02,-4.03039138943248,0.0470805965945024
157.33,-3.72039138943248,0.0465446412878733
157.64,-3.4103913894325,0.0457733920534883
157.95,-3.1003913894325,0.0447688612750812
158.26,-2.7903913894325,0.0435331937635678
158.57,-2.4803913894325,0.0420694022808541
158.88,-2.1703913894325,0.0403812083654183
159.19,-1.86039138943249,0.0384731245359908
159.5,-1.55039138943249,0.0363503325285104
159.81,-1.24039138943249,0.0340185920392134
160.12,-0.930391389432486,0.0314842777371392
160.43,-0.620391389432484,0.0287542114059665
160.74,-0.310391389432482,0.0258356149138319
161.05,-0.000391389432479627,0.0227357385368161
161.36,0.309608610567523,0.0194619363016268
161.67,0.619608610567496,0.0160218204853795
161.98,0.929608610567499,0.0124230428729673
162.29,1.2396086105675,0.0086732664212864
162.6,1.5496086105675,0.00478020796322221
162.91,1.85960861056751,0.000751576089383688
163.22,2.16960861056751,-0.00340497240414079
163.53,2.47960861056751,-0.0076819081435557
163.84,2.78960861056751,-0.0120717729629303
164.15,3.09960861056751,-0.0165671181325742
164.46,3.40960861056752,-0.021160708211974
164.77,3.71960861056752,-0.0258455302162723
165.08,4.02960861056749,-0.0306145834371829
165.39,4.3396086105675,-0.0354610747559012
165.7,4.6496086105675,-0.0403786054051282
166.01,4.9596086105675,-0.0453608207235152
166.32,5.2696086105675,-0.0504015094570461
166.63,5.5796086105675,-0.0554949912939582
166.94,5.88960861056751,-0.0606360575651886
167.25,6.19960861056751,-0.0658200109074692
167.56,6.50960861056751,-0.0710427232259692
167.87,6.81960861056751,-0.0763003051174925
168.18,7.12960861056752,-0.0815888968078363
168.49,7.43960861056752,-0.0869051009653935
168.8,7.74960861056752,-0.0922458948174001
169.11,8.05960861056752,-0.0976082727014892
169.42,8.3696086105675,-0.10298955644013
169.73,8.6796086105675,-0.108387547200745
170.04,8.9896086105675,-0.11380008453514
170.35,9.2996086105675,-0.119225197661389
170.66,9.60960861056751,-0.12466143372056
170.97,9.91960861056751,-0.130107427448484
171.28,10.2296086105675,-0.135561902630403
171.59,10.5396086105675,-0.141024059984334
171.9,10.8496086105675,-0.146493259228878
172.21,11.1596086105675,-0.15196886019216
172.52,11.4696086105675,-0.157450222702308
172.83,11.7796086105675,-0.162936706587446
173.14,12.0896086105675,-0.168427671675702
173.45,12.3996086105675,-0.173922477795201
173.76,12.7096086105675,-0.179420484774069
174.07,13.0196086105675,-0.184921052440433
174.38,13.3296086105675,-0.190423540622419
174.69,13.6396086105675,-0.195927309148152
175,13.9496086105675,-0.201431717845759
