"k_prime","edf","k_index","p_value","smooth_term"
4,3.50213251853796,1.03305616708414,0.8275,"s(GA_c)"
4,2.29785333378813,0.977282173465087,0.2675,"s(BMI_c)"
16,5.84411868707367,0.994844086007803,0.42,"ti(GA_c,BMI_c)"
267,236.362520516388,NA,NA,"s(patient_id)"
