"key","value"
"k","5"
"converged","TRUE"
"outer_convergence","full convergence"
"n_obs","1022"
"n_patients","267"
"aic","-5327.36761912873"
"log_likelihood","2922.46983496377"
"reml_score","-2434.695501385"
"deviance_explained","0.826270261641988"
"adjusted_r2","0.769319707825973"
"precision","262.888145931267"
"random_intercept_variance","0.164108250222706"
"total_edf","254.006625055788"
"warnings",""
