scope,N,mean_abs_delta,median_abs_delta,q90_abs_delta,max_abs_delta,proportion_abs_delta_le_0_5,proportion_abs_delta_le_1_0,proportion_abs_delta_le_2_0,mean_excess_risk_at_group_time
Overall,267,0.4235955056179775,0.3000000000000007,0.8999999999999992,2.1999999999999993,0.7602996254681648,0.9325842696629213,0.9925093632958801,0.017581917172232692
G1,146,0.4,0.3000000000000007,0.8999999999999986,1.8999999999999986,0.8082191780821918,0.9452054794520548,1.0,0.014017957398813726
G2,101,0.39108910891089094,0.3000000000000007,0.7999999999999989,1.5999999999999996,0.7524752475247525,0.9504950495049505,1.0,0.016967472303339858
G3,20,0.7600000000000003,0.7499999999999991,1.6500000000000017,2.1999999999999993,0.45,0.75,0.9,0.04670177010609994
