组别,BMI区间,人数,50%可靠性参考时点,70%可靠性参考时点,90%可靠性参考时点,Minimax最佳时点,周+天,平均可靠性,10%分位可靠性,最小可靠性,检测失败风险,延迟风险,Minimax风险
1,"[20.70, 31.74]",146,10.0,10.0,17.2,13.8,13周+6天,0.873520059942725,0.8041895484993605,0.6899963225355524,0.12647994005727503,0.12000000000000005,0.12647994005727503
2,"(31.74, 36.10]",101,10.0,10.6,18.1,14.1,14周+1天,0.8556971614225983,0.7978947321872489,0.7006885328818311,0.14430283857740167,0.13999999999999999,0.14430283857740167
3,"(36.10, 46.88]",20,11.7,15.2,21.8,16.1,16周+1天,0.726157548698506,0.6295631924087869,0.4097937696854346,0.273842451301494,0.27333333333333343,0.273842451301494
