k',edf,k-index,p-value,smooth_term
4,3.49979340809927,1.03447698308822,0.84,s(GA_c)
4,2.29788110036187,0.976685906344735,0.26,s(BMI_c)
16,5.82894714211575,0.997089776529151,0.44,"ti(GA_c,BMI_c)"
3,1.41672987787579,1.12673761476592,1.0,s(Height_c)
267,234.684489139822,,,s(patient_id)
