Model,CV_RMSE,RMSE_SD,CV_MAE,MAE_SD,CV_R2,R2_SD,Boundary_RMSE,Boundary_N,Pass_Accuracy,Pass_Precision,Pass_Recall,Pass_F1,Pass_AUC,Stable,Complexity,Decision
B0,0.032697110577908535,0.0032873544833703877,0.0263779261572361,0.002476609359418257,0.020821489205053133,0.05256828661259094,0.03721941934796378,79,0.87573385518591,0.8779527559055118,0.9966480446927374,0.9335426478283622,0.584137597325474,True,Low,推荐
SGEE,0.03339768264225692,0.003007760765345526,0.027068700206863028,0.0023482999196183583,-0.025278330624675903,0.09413270199097655,0.035838537661739264,79,0.87573385518591,0.8772102161100196,0.9977653631284916,0.9336121275483533,0.5975102274226896,True,Medium,保留对照
M4-P,0.03387443827940788,0.0031191781697542872,0.027294765184071403,0.0024770273197324134,-0.057047113881158996,0.1287934103890527,0.03595836380165291,79,0.87573385518591,0.8764705882352941,0.9988826815642458,0.9336814621409921,0.6040557779439581,True,High,保留对照
